T_max,disp_max,sigma_vm_max,J_in,h_conv,mat_left,mat_right
300.07610321290116,3.5049007779711745e-08,19207.73150140884,1000000.0,300,Cu,Al
300.04502578564967,1.1674657330777396e-08,12456.108987081718,1000000.0,300,Cu,Cu
300.23730421136037,6.967384895322548e-08,91684.52322435119,1000000.0,300,Cu,Fe
300.17563113092103,4.851308817706936e-08,68809.0138099622,1000000.0,300,Cu,Ni
300.37253335086285,2.1040490222593868e-07,258328.2463092392,1000000.0,300,Fe,Al
300.2373036944065,6.966249523240991e-08,77081.87379216272,1000000.0,300,Fe,Cu
300.78789375685056,1.4641306592290296e-07,289051.24562308023,1000000.0,300,Fe,Fe
300.655541663254,1.3332438380230095e-07,263119.3627323856,1000000.0,300,Fe,Ni
300.2822676414769,1.5099876706243452e-07,184865.70620272495,1000000.0,300,Ni,Al
300.17563079341005,4.850572895331176e-08,61388.33998241108,1000000.0,300,Ni,Cu
300.6555417926538,1.3333778980720734e-07,248229.827489767,1000000.0,300,Ni,Fe
300.5296797750029,1.0688103777668927e-07,219646.98929439907,1000000.0,300,Ni,Ni
300.1080363151213,4.039126355080504e-08,28482.35737916434,1000000.0,500,Al,Al
300.06679511938285,3.128597167948198e-08,19733.600621063542,1000000.0,500,Al,Cu
300.29994583850277,1.7342085208754098e-07,254013.02319367067,1000000.0,500,Al,Fe
300.2282274631704,1.2506812429959213e-07,182902.39168656984,1000000.0,500,Al,Ni
300.0667951626241,3.12817518894063e-08,17507.117377538434,1000000.0,500,Cu,Al
300.04060179292566,1.0620331549099596e-08,11539.177756635894,1000000.0,500,Cu,Cu
300.20333377583097,6.033995104325263e-08,78145.76249462964,1000000.0,500,Cu,Fe
300.15083124348877,4.215282335399294e-08,62169.75163505594,1000000.0,500,Cu,Ni
300.29994567049016,1.733930089659612e-07,206594.78223863355,1000000.0,500,Fe,Al
300.20333348080464,6.033006100102275e-08,69597.83004073623,1000000.0,500,Fe,Cu
300.59110950809,1.1282144954252606e-07,238171.6164724278,1000000.0,500,Fe,Fe
300.495517926076,1.0340430193343312e-07,217417.93020853514,1000000.0,500,Fe,Ni
300.22822735055865,1.2504833810563962e-07,148554.25605560717,1000000.0,500,Ni,Al
300.1508310535939,4.2146394042526724e-08,55444.675855371475,1000000.0,500,Ni,Cu
300.49551796874334,1.0341451426282481e-07,205669.5924179864,1000000.0,500,Ni,Fe
